DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
Bolívar,SAN MARTÍN DE LOBA,1423,2019,11,1515901,0,0,0,0,0,0,0,0
Boyacá,SAMACÁ,1423,2019,11,2521902,1,0,0,0,0,0,0,0
Cauca,TOTORÓ,1423,2019,11,2013001,2,0,0,0,0,0,0,0
Cundinamarca,FUNZA,1423,2019,11,4289202,0,0,0,0,0,0,0,0
Casanare,YOPAL,1423,2019,11,1804401,8,0,0,0,0,0,0,0
Vichada,PUERTO CARREÑO,1423,2019,11,1950001,0,0,0,0,0,0,0,0
Arauca,TAME,1423,2019,11,2013001,7,2,0,0,0,0,0,0
Sucre,COROZAL,1423,2019,11,5452102,15,0,1,0,0,0,0,0
Risaralda,PEREIRA,1423,2019,11,3252901,4,2,0,0,0,0,0,0
Valle del Cauca,CALI,1423,2019,11,4011401,4373,17,79,0,0,0,2,7
Cundinamarca,CAJICÁ,1423,2019,11,2749201,1,0,0,0,0,0,0,0
Quindio,ARMENIA,1423,2019,11,2930301,5,3,0,0,0,0,0,0
Antioquia,ENVIGADO,1423,2019,11,3524101,23,2,0,0,0,0,0,0
Nariño,IPIALES,1423,2019,11,1524401,16,0,0,0,0,0,0,0
Casanare,AGUAZUL,1423,2019,11,3014003,11,0,0,0,0,0,0,0
Cundinamarca,GIRARDOT,1423,2019,11,3923301,5,0,0,0,0,0,0,0
Antioquia,SEGOVIA,1423,2019,11,1515901,19,0,0,0,0,0,0,0
Cesar,PUEBLO BELLO,1423,2019,11,3156101,0,0,0,0,0,0,0,0
Antioquia,RETIRO,1423,2019,11,1523601,1,0,0,0,0,0,0,0
Antioquia,APARTADÓ,1423,2019,11,1524601,3,0,0,0,0,0,0,0
Antioquia,CAÑASGORDAS,1423,2019,11,5752401,1,0,0,0,0,0,0,0
Nariño,LA FLORIDA,1423,2019,11,3851101,0,8,0,0,0,0,0,0
Valle del Cauca,TULUÁ,1423,2019,11,3221201,7,0,0,0,0,0,0,0
Cundinamarca,ANAPOIMA,1423,2019,11,4454202,12,0,0,0,0,0,0,0
Putumayo,SIBUNDOY,1423,2019,11,1522201,0,0,0,0,0,0,0,0
Antioquia,LA CEJA,1423,2019,11,3515101,6,0,0,0,0,0,0,0
Cundinamarca,GUASCA,1423,2019,11,1521101,0,0,0,0,0,0,0,0
Cundinamarca,VILLA DE SAN DIEGO DE UBATE,1423,2019,11,3749101,82,0,0,0,0,0,0,0
Boyacá,DUITAMA,1423,2019,11,4222002,3,0,0,0,0,0,0,0
Antioquia,SAN RAFAEL,1423,2019,11,2020201,0,1,0,0,0,0,0,0
Cauca,ALMAGUER,1423,2019,11,1804301,0,0,0,0,0,0,0,0
Santander,SAN VICENTE DE CHUCURÍ,1423,2019,11,2632001,5,0,0,0,0,0,0,0
Antioquia,ARMENIA,1423,2019,11,2011101,1,0,0,0,0,0,0,0
Santander,GAMBITA,1423,2019,11,1950001,1,0,0,0,0,0,0,0
Antioquia,RETIRO,1423,2019,11,4020102,5,0,0,0,0,0,0,0
Caquetá,EL PAUJIL,1423,2019,11,1523301,1,0,0,0,0,0,0,0
Valle del Cauca,LA UNIÓN,1423,2019,11,1524401,3,0,0,0,0,0,0,0
Santander,SOCORRO,1423,2019,11,5201001,0,0,0,0,0,0,0,0
Cauca,GUAPI,1423,2019,11,1919101,172,0,0,0,0,0,0,0
Nariño,PROVIDENCIA,1423,2019,11,3410001,1,0,0,0,0,0,0,0
Cundinamarca,CHÍA,1423,2019,11,1930201,6,0,0,0,0,0,0,0
Cundinamarca,ZIPAQUIRÁ,1423,2019,11,2642401,2,0,0,0,0,0,0,0
Antioquia,RIONEGRO,1423,2019,11,4604201,134,0,0,0,0,0,0,0
Risaralda,PEREIRA,1423,2019,11,2174901,7,0,0,0,0,0,0,0
Magdalena,CIÉNAGA,1423,2019,11,2011701,3,0,0,0,0,0,0,0
Atlántico,BARRANQUILLA,1423,2019,11,2224001,0,0,0,0,0,0,0,0
Córdoba,MONTERÍA,1423,2019,11,3731002,9,0,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,2852001,231,3,0,0,0,0,1,0
"Bogotá, D.C.","BOGOTÁ, D.C.",1423,2019,11,5241301,71,2,0,0,0,0,0,0
Caldas,VILLAMARÍA,1423,2019,11,1522101,0,0,0,0,0,0,0,0
Cundinamarca,MOSQUERA,1423,2019,11,5271001,0,0,0,0,0,0,0,0
Cesar,VALLEDUPAR,1423,2019,11,1749901,48,8,1,0,0,0,0,0
Magdalena,SANTA MARTA,1423,2019,11,1523701,28,0,0,0,0,0,0,0
Santander,EL CARMEN DE CHUCURÍ,1423,2019,11,2014002,0,0,0,0,0,0,0,0
Antioquia,BELLO,1423,2019,11,4289903,2,0,0,0,0,0,0,0
Meta,SAN MARTÍN,1423,2019,11,2013001,12,0,0,0,0,0,0,0
Bolívar,CARTAGENA,1423,2019,11,3321001,3,0,0,0,0,0,0,0
Norte de Santander,EL ZULIA,1423,2019,11,2020101,1,0,0,0,0,0,0,0
Atlántico,MALAMBO,1423,2019,11,1524101,4,0,0,0,0,0,0,0
Antioquia,BELLO,1423,2019,11,2012901,5,0,0,0,0,0,0,0
Caldas,LA DORADA,1423,2019,11,2551101,38,0,0,0,0,0,0,0
Boyacá,PAIPA,1423,2019,11,4711102,0,0,0,0,0,0,0,0
Norte de Santander,OCAÑA,1423,2019,11,4602201,1,0,0,0,0,0,0,0
Antioquia,SONSON,1423,2019,11,4524104,21,0,0,0,0,0,0,0
Valle del Cauca,SEVILLA,1423,2019,11,1525201,0,0,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,4291101,1,0,0,0,0,0,0,0
Tolima,MELGAR,1423,2019,11,2725001,1,0,0,0,0,0,0,0
Cesar,EL COPEY,1423,2019,11,1516301,0,0,0,0,0,0,0,0
Valle del Cauca,GUADALAJARA DE BUGA,1423,2019,11,1513301,10,0,0,0,0,0,0,0
Huila,CAMPOALEGRE,1423,2019,11,2156301,0,0,0,0,0,0,0,0
Boyacá,PAZ DE RÍO,1423,2019,11,1950001,1,0,0,0,0,0,0,0
Cauca,POPAYÁN,1423,2019,11,2712101,0,0,0,0,0,0,0,0
Cauca,TOTORÓ,1423,2019,11,1751201,55,22,0,0,0,0,0,0
Atlántico,BARANOA,1423,2019,11,1523101,0,0,0,0,0,0,0,0
Antioquia,JERICÓ,1423,2019,11,1014001,1,0,0,0,0,0,0,0
Nariño,OLAYA HERRERA,1423,2019,11,1751201,12,0,0,0,0,0,0,0
Antioquia,ITAGUI,1423,2019,11,5269601,2,0,0,0,0,0,0,0
Antioquia,ENVIGADO,1423,2019,11,1515901,59,1,0,0,0,0,0,0
Caquetá,FLORENCIA,1423,2019,11,5242904,0,0,0,0,0,0,0,0
Santander,PIEDECUESTA,1423,2019,11,1806001,1,0,0,0,0,0,0,0
Norte de Santander,TIBÚ,1423,2019,11,4712102,0,0,0,0,0,0,0,0
